epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,4477.66,1.56485,1.14521,1.15031,0.47932,0.4885,0.44807,0.15508,3.01239,2.1305,2.1225,0.0003095,0.0003095,0.0003095
154,4505.48,1.59102,1.16009,1.17008,0.48829,0.49338,0.45064,0.14565,3.02689,2.13733,2.11926,0.000303313,0.000303313,0.000303313
155,4534.16,1.66107,1.28751,1.2046,0.46288,0.50224,0.4433,0.13733,3.04395,2.1682,2.12662,0.000297125,0.000297125,0.000297125
156,4570.48,1.5864,1.19744,1.19522,0.44709,0.46164,0.40587,0.13739,3.0473,2.16574,2.13985,0.000290937,0.000290937,0.000290937
157,4598.83,1.53433,1.14514,1.13369,0.44709,0.46164,0.40587,0.13739,3.0473,2.16574,2.13985,0.00028475,0.00028475,0.00028475
158,4627.23,1.53668,1.15315,1.16006,0.50825,0.41769,0.42272,0.13146,3.05604,2.12955,2.14929,0.000278562,0.000278562,0.000278562
159,4653.76,1.41343,1.07876,1.13672,0.4091,0.4443,0.38319,0.12612,3.01946,2.11786,2.1433,0.000272375,0.000272375,0.000272375
160,4683.8,1.4059,1.10037,1.11554,0.49661,0.43541,0.44362,0.13951,2.99231,2.0963,2.15005,0.000266187,0.000266187,0.000266187
161,4713.62,1.5602,1.21502,1.19836,0.49661,0.43541,0.44362,0.13951,2.99231,2.0963,2.15005,0.00026,0.00026,0.00026
162,4744.29,1.51268,1.13317,1.13673,0.45765,0.43415,0.40717,0.1357,2.97582,2.08236,2.15259,0.000253812,0.000253812,0.000253812
163,4774.63,1.49784,1.10556,1.14568,0.48029,0.44816,0.3954,0.14001,2.9706,2.07981,2.13623,0.000247625,0.000247625,0.000247625
164,4810.06,1.52961,1.16843,1.20297,0.48425,0.45732,0.39974,0.14894,2.96628,2.10535,2.13129,0.000241438,0.000241438,0.000241438
165,4847.29,1.43034,1.10985,1.12767,0.48425,0.45732,0.39974,0.14894,2.96628,2.10535,2.13129,0.00023525,0.00023525,0.00023525
